objectid,filename,format,medium,title,creator,date_acquired,description,acquisition_type,physical_location,subject,notes
df.do.32,df.do.32,record,Plastic,Oscar Meyer Weiner Whistle,unknown,2022,Small whistle in the shape of the Oscar Meyer Weiner Mobile.,gifted,Bookshelf,Miscellaneous,Gifted from Oscar Meyer Weiner Mobile drivers at the Heinz History Center.
df.do.33,df.do.33,record,Hair,Mira's Hair,"Natural Material, Mira Bhayroo",2021,Lock of hair wrapped in medical tape,collected,Bookshelf,Natural Materials,"Collected after Mira cut her hair in backyard, was collected and kept with permission."
df.do.34,df.do.34,record,Figurine,California Raisin on a Skateboard,unknown,c.2021,California Raisin figurine on a skateboard,gifted,Bookshelf,California Raisins,Gifted from Brena E.
df.do.35,df.do.35,record,Tooth,Binky Tooth,Natural Material,2022,Baby tooth from cat named Binky Barnes,collected,Bookshelf,Natural Materials,Collected from Binky Barnes directly (cat spit tooth into collectors hand).
df.do.36,df.do.36,record,Tooth,Shark Tooth,Natural Material,c. 2021,Shark tooth excavated from a set sold by Discovery Kids brand.,bought,Bookshelf,Natural Materials,"bought at Michaels store in Philadelphia, PA."
df.do.37,df.do.37,record,Rubber,Bigfoot,unknown,2023,Miniature rubber figurine of Bigfoot.,bought,Bookshelf,Miscellaneous,"bought at Wild Card store in Pittsburgh, PA."
df.do.38,df.do.38,record,Shell,Small Cone Shell,Natural Material,2023,Small white cone shaped shell,bought,Bookshelf,Natural Materials,"Bought at Creative Reuse, Pittsburgh, PA. "
df.do.39,df.do.39,record,Print,Stephen Spielberg and Jaws,Time Magazine,2022,Cut out image from Time Magazine Jaws 50th Anniversary edition. Image shows two male figures with film camera with the fake shark used for Jaws.,bought,Bookshelf,Miscellaneous,"bought in Philadelphia, PA."
df.do.40.1 - 4,df.do.40.1 - 4,record,"Print, photograph",Flyers Collage,"Calvin Lynch, D. Franklin",2024,"Collage of three Calvin Lynch works, and one signed photograph Brian Propp, a previous player on the Philadelphia Flyers.","gifted, created",Bedroom Wall,Calvin Lynch,"Lynch prints and frame acquired from the Heinz History Center. Flyers photograph was a gift from Bob S., a coworker of collector HHC. Collage was created by D. Franklin, no materials were physically changed or manipulated. "
df.do.40.1,df.do.40.1,record,Print,Hey Look me Over,Calvin Lynch,c. 2021,Color illustration of men standing around an old timey car with flames painted on it.,collected,Bedroom Wall,Calvin Lynch,acquired from the Heinz History Center
df.do.40.2,df.do.40.2,record,Greeting Card,Smithfield Bridge,Calvin Lynch,c. 2021,Black and white printed image of sketch of the Smithfield Bridge,collected,Bedroom Wall,Calvin Lynch,acquired from the Heinz History Center
df.do.40.3,df.do.40.3,record,Greeting Card,Pittsburgh View from Troy Hill,Calvin Lynch,c.2021,Black and white printed image of sketch of downtown Pittsburgh from perspective of the Troy Hill neighborhood.,collected,Bedroom Wall,Calvin Lynch,acquired from the Heinz History Center
df.do.40.4,df.do.40.4,record,Print,Brian Propp,unknown,2023,Signed photograph of Brian Propp playing hockey,gifted,Bedroom Wall,Miscellaneous,gifted from Bob. S. Signed by Brian Propp. Back of print has biographical/ career information.
df.do.41,df.do.41,record,Photograph,"Teddy, Sonny, and D in West Viriginia, 2024",Gwendolyn Franklin,2024,"Photograph of three figures (L to R: Teddy, Sonny and D) standing by a lake. Teddy and D are wearing life jackets.",gifted,Little Table,Miscellaneous,Gifted by Gwendolyn and Sonny. Photo taken by Gwen on a disposable camera in West Virginia.
df.do.42,df.do.42,record,Photograph,Walnut Street,D. Franklin,2017,Photograph of Walnut Street around 15th street at sunset,created,Little Table,Miscellaneous,"Photograph taken by collector, unframed. Tye M. is seen in the photograh. Taken on a disposable camera."
df.do.43,df.do.43,record,Postcard,Captain Nemo,N.C. Wyeth,c.2019,"Postcard of N.C. Wyeth painting, man with white beard in center frame.",bought,Little Table,Miscellaneous,bought at the Brandywine River Art Museum
df.do.44,df.do.44,record,"Sculpture, Wood",Te Quiero,unknown,c. 2023,"Small red wooden sculpture in shape of a window, inside the frame is a heart with the words ""Te Quiero""",bought,Bedroom Window,Miscellaneous,"Bought at Creative Reuse, Pittsburgh, PA. "
df.do.45,df.do.45,record,Photograph,Phillies Player,Unknown,"c. 1970
2023",Signed photograph portrait of 1970s Phillies player,gifted,Desk Area,Miscellaneous,gifted from Bob. S.
